Name	UUID	URI
UnitfulLatexify	45397f5d-5981-4c77-b2b3-fc36d6e9b728	https://github.com/gustaphe/UnitfulLatexify.jl.git
QuantumStateDB	60e91ee2-604c-4965-af86-8cb346de0b34	https://github.com/foldfelis-QO/QuantumStateDB.jl.git
LightGraphsGraphBLAS	9e818040-a151-11e9-0cac-43033c89f788	https://github.com/abhinavmehndiratta/LightGraphsGraphBLAS.jl.git
ParameterSpacePartitions	64931d76-8770-46b0-8423-0a5d3a7d2d72	https://github.com/itsdfish/ParameterSpacePartitions.jl.git
ConstraintProgrammingExtensions	b65d079e-ed98-51d9-b0db-edee61a5c5f8	https://github.com/JuliaConstraints/ConstraintProgrammingExtensions.jl.git
TimeDataFrames	ff13af16-2f41-468a-a2e1-aff5c43aabf7	https://github.com/DynareJulia/TimeDataFrames.jl.git
TensorCore	62fd8b95-f654-4bbd-a8a5-9c27f68ccd50	https://github.com/JuliaMath/TensorCore.jl.git
MicrobiomePlots	bed85cf4-5cc8-5ac4-9eb3-09fbf92b2ce2	https://github.com/BioJulia/MicrobiomePlots.jl.git
Libtask	6f1fad26-d15e-5dc8-ae53-837a1d7b8c9f	https://github.com/TuringLang/Libtask.jl.git
BridgeSDEInference	46d747a0-b9e1-11e9-14b5-615c73e45078	https://github.com/mmider/BridgeSDEInference.jl.git
